Action,Notes,title,key,Org,count,Matches,Unmatched,Names,,,,,,
Approved,,,data series,FEWS NET|FEWS NET,6,none|259,0b59dbf2-aee2-4ecc-ab9e-2487ac27610d,"Congo, The Democratic Republic of Weekly FEWS NET Staple Food Price Data",,,,,,
Approved,,FEWS NET - Cross Border Trade Data,data series,FEWS NET,6,none|260,8ed45f59-9e7e-4a6f-a2f9-8f2bf817b8e5|1abb13b3-7d40-4b07-8c12-2213f0b93c4f|60927694-0710-41b7-a064-c165d9172747|2af1662c-885e-4c74-a9e1-ed2c3d6f419f|ad60fddb-afa8-4922-92e9-a4e5f417c15a|0f4bc261-34e8-4543-abac-1651ffd018d8,United Republic of Tanzania Daily FEWS NET Cross Border Trade Data,Uganda Daily FEWS NET Cross Border Trade Data,Rwanda Daily FEWS NET Cross Border Trade Data,Sudan Daily FEWS NET Cross Border Trade Data,Mozambique Monthly FEWS NET Cross Border Trade Data,United Republic of Tanzania Monthly FEWS NET Cross Border Trade Data,
Approved,,COD - Subnational Population Statistics,data series,UNFPA|UNFPA|OCHA Latin America and the Caribbean (ROLAC),75,none|13,206e28e6-3a8a-4a5c-828b-4e92d9273056,Qatar - Subnational Population Statistics,,,,,,
Approved,,geoBoundaries - Subnational Administrative Boundaries,data series,geoBoundaries,125,none|97,8def39d0-ae01-4db4-91c2-c59585925510|a72c35be-0ea1-4806-ab40-542ddf0592b3|57cc42f2-9bdb-4925-b3b5-23c934fb8dfc|5402598d-df7a-40a6-aeca-42e6f6ae028d,Türkiye - Subnational Administrative Boundaries,Pitcairn - Subnational Administrative Boundaries,Guernsey - Subnational Administrative Boundaries,American Samoa - Subnational Administrative Boundaries,,,
Approved,,UNHCR - Uganda - Post Distribution Monitoring of Non-Food Items,data series,UNHCR - The UN Refugee Agency,6,none|93,f0206652-f2b2-4489-be07-9acbb8fd2197|584d031a-442b-468a-923a-7186c3f87b3c,"Bangladesh - Post-Distribution Monitoring of Non-Food Items, 2021","Thailand - Post-Distribution Monitoring of Non-Food Items, 2022",,,,,
Approved,,UNHCR - Post-Distribution Monitoring of Cash-Based Intervention,data series,UNHCR - The UN Refugee Agency,22,none|112,f7c8920e-3085-43e7-a14d-a17f076fca41,Tajikistan - Post-Distribution Monitoring of Cash-Based Intervention 2022,,,,,,
Approved,,Data for Good at Meta - High Resolution Population Density Maps and Demographic Estimates,data series,Data for Good at Meta (previously Facebook)|Data for Good at Meta (previously Facebook)|Data for Good at Meta (previously Facebook)|Data for Good at Meta (previously Facebook)|Data for Good at Meta (previously Facebook)|Data for Good at Meta (previously Facebook),190,none|27,f5dc6ef5-0776-429c-b78b-6419b00b275d|a3a51634-a37f-42e5-9b97-858872c8a94b,Bahamas: High Resolution Population Density Maps + Demographic Estimates,Jersey: High Resolution Population Density Maps + Demographic Estimates,,,,,
Approved,,Data for Good at Meta - High Resolution Population Density Maps and Demographic Estimates,data series,Data for Good at Meta (previously Facebook),190,none|27,a3a51634-a37f-42e5-9b97-858872c8a94b,Jersey: High Resolution Population Density Maps + Demographic Estimates,,,,,,
Approved,,iMMAP -,excluded,iMMAP,11,none|67,992de76f-f029-4ee7-be6b-a03ec26fef23,Fichas Territoriales,,,,,,
Approved,,World Bank - Development,data series,World Bank Group,433,none|39,bac1a5de-700d-4e79-b5c0-7a1c492814c4,Northern Mariana Islands - Social Development,,,,,,
Approved,,Clean,clean,iMMAP,6,none|265,aa9df8dc-a50e-4988-96f9-cc1e863b969a,Información consolidad de rutinaria - INS,,,,,,
Approved,,Hub Latin America - Crime in Chile and Ecuador,data series,Hub Latin America,37,none|110,7ad959f8-f770-4d14-bca9-974a3821d244,Brazil: Violent Crimes in Ouro Preto,,,,,,
Excluded,,COD - Subnational Administrative Boundaries,data series,OCHA Sudan,115,none|12,e0ce199b-295f-4feb-b155-e3cf0f84705a|af5dee92-be5e-4d02-bbcf-37b44e4025fb,Sudan : Administrative line boundaries 1,Sudan Administative line boundaries 2,,,,,
